CIK,DATE
0000352363,5/22/2001
0000352363,11/15/2001
0000352363,10/21/2002
0000352363,10/17/2003
0000352915,7/8/1997
0000352915,12/13/2001
0000352915,3/4/2005
0000352915,7/28/2006
0000352949,7/25/1997
0000353230,12/21/1998
0000353230,9/1/2000
0000353230,3/20/2001
0000353230,6/13/2003
0000353230,7/28/2005
0000353567,4/9/2002
0000353944,5/22/1997
0000353944,8/10/2001
0000353944,7/1/2004
0000353944,12/20/2005
0000354950,9/17/1999
0000354950,5/28/2004
0000355142,11/20/1997
0000355142,11/20/1997
0000355999,4/3/1998
0000355999,6/29/2000
0000355999,3/21/2003
0000356080,11/29/2001
0000356080,5/3/2005
0000356080,6/7/2006
0000701345,12/12/1997
0000701345,12/10/1999
0000701374,1/31/1997
0000701374,3/13/1998
0000701374,4/1/1998
0000701374,11/5/1999
0000701650,6/29/2004
0000701650,1/28/2005
0000701818,3/8/2000
0000701985,9/25/1997
0000701985,7/13/2001
0000701985,6/28/2002
0000701985,6/27/2003
0000701985,10/6/2004
0000701985,3/22/2006
0000702165,2/10/1997
0000702165,5/21/1997
0000702165,8/31/2004
0000702808,9/16/1997
0000703351,10/6/2004
0000703360,4/21/2000
0000704386,12/23/1997
0000707549,4/13/1998
0000708819,2/10/2003
0000708819,12/9/2003
0000708819,8/25/2004
0000708819,3/18/2005
0000708819,6/6/2006
0000709283,12/17/2002
0000709283,8/22/2006
0000711404,1/6/2005
0000712034,8/17/2005
0000714154,10/2/1998
0000714154,10/1/1999
0000714154,9/29/2000
0000714154,9/28/2001
0000715787,6/25/1997
0000715787,6/30/2006
0000716006,9/24/1997
0000716006,12/11/2003
0000716006,9/10/2004
0000716133,11/9/1999
0000716133,2/16/2005
0000716714,7/1/1997
0000716783,12/8/1998
0000716783,3/2/2001
0000716783,4/18/2002
0000716783,4/16/2004
0000716783,9/12/2005
0000716823,11/30/1998
0000716823,3/31/2004
0000716823,6/10/2004
0000716823,12/19/2006
0000717423,11/13/1997
0000717605,3/5/1998
0000717605,9/15/1998
0000717605,3/19/2003
0000717605,3/1/2005
0000719413,8/11/1997
0000720032,12/31/1998
0000721083,5/5/2005
0000721371,3/31/1999
0000721371,3/29/2001
0000721371,3/28/2002
0000721371,3/27/2003
0000721371,11/18/2005
0000722079,4/7/2000
0000722080,2/11/1999
0000722723,6/16/1999
0000722723,2/15/2002
0000723125,5/28/1997
0000723371,8/18/1999
0000723888,5/21/2004
0000724941,1/26/1998
0000724941,6/30/1998
0000725549,5/23/1997
0000725549,8/22/2001
0000730469,1/20/1999
0000732485,12/10/2003
0000732485,7/14/2006
0000732713,4/29/2005
0000732717,10/18/2004
0000732717,7/12/2006
0000733099,6/22/2005
0000733269,12/29/1999
0000733269,1/28/2002
0000733269,2/5/2003
0000733269,3/24/2005
0000733269,9/15/2006
0000737758,2/22/2002
0000737758,9/8/2004
0000737874,10/31/2000
0000737874,6/19/2003
0000737874,6/30/2005
0000740694,7/28/2003
0000740694,7/12/2005
0000740761,7/23/2004
0000745026,7/31/1998
0000745274,4/1/1999
0000745274,6/21/2001
0000745274,1/28/2004
0000745287,1/8/2004
0000748015,8/25/2006
0000750004,9/6/2000
0000750004,12/19/2002
0000750004,12/23/2004
0000750004,3/31/2006
0000751085,6/20/1997
0000752268,4/30/1998
0000755199,9/13/2004
0000755199,5/27/2005
0000756894,4/29/2002
0000757011,6/30/2000
0000757011,6/25/2001
0000757011,8/2/2006
0000758722,3/30/1998
0000758722,5/16/2000
0000764180,7/24/2001
0000764180,4/15/2005
0000764180,3/31/2006
0000764478,3/21/2002
0000764478,12/22/2004
0000764960,9/10/1998
0000766004,9/23/1999
0000768835,5/15/1998
0000768835,5/8/2001
0000768835,7/31/2003
0000770944,11/18/1997
0000770944,11/10/1999
0000770944,12/21/2001
0000770944,7/2/2003
0000770944,10/14/2004
0000770944,10/16/2006
0000770949,7/1/1997
0000770949,6/3/2002
0000771178,2/20/1998
0000772372,4/9/1997
0000773136,9/30/1997
0000773840,10/9/1998
0000773840,10/9/1998
0000773840,12/2/1999
0000773910,4/15/1999
0000773910,4/14/2000
0000773910,10/25/2000
0000775158,2/26/1998
0000775158,9/28/2000
0000775158,12/6/2006
0000776325,6/30/1998
0000776325,2/28/2001
0000776325,11/15/2001
0000776325,12/31/2003
0000779390,6/19/2001
0000779390,8/9/2002
0000780571,12/17/2003
0000783005,10/2/2000
0000783005,12/29/2000
0000783005,5/10/2004
0000783005,11/2/2006
0000785161,6/23/1998
0000785161,9/28/1998
0000785161,12/15/1999
0000785161,10/31/2000
0000785161,6/14/2002
0000785787,11/20/2001
0000785814,9/15/1997
0000789073,7/12/2001
0000789073,7/11/2002
0000789073,7/10/2003
0000789073,7/8/2004
0000789073,7/26/2005
0000789073,10/6/2005
0000789073,10/5/2006
0000789388,1/25/2002
0000789388,1/10/2003
0000789388,1/9/2004
0000789570,7/17/1997
0000789570,3/31/1999
0000789570,4/10/2000
0000789570,4/6/2001
0000789570,4/5/2002
0000789570,4/4/2003
0000789570,11/24/2003
0000789570,4/25/2005
0000789570,10/3/2006
0000790051,6/9/2005
0000790703,5/8/2000
0000790703,5/2/2003
0000790703,3/7/2005
0000790929,12/22/1997
0000791348,10/8/2001
0000791519,11/13/1997
0000791519,6/25/2000
0000791519,6/25/2001
0000791519,6/21/2002
0000791519,12/22/2003
0000791519,12/14/2004
0000791519,10/13/2006
0000791915,9/25/2003
0000792985,11/30/1999
0000792985,5/14/2004
0000794323,9/30/1999
0000795403,3/27/1998
0000795403,2/28/2002
0000795403,9/23/2004
0000795403,4/27/2006
0000795615,3/18/2004
0000795665,11/20/2000
0000796735,9/25/2003
0000796912,3/11/1998
0000797320,2/28/1997
0000797468,12/18/1997
0000797468,6/18/2004
0000799088,1/29/1999
0000799088,1/31/2002
0000799088,2/4/2004
0000799088,5/19/2005
0000800240,2/20/1998
0000800240,6/2/2000
0000800240,4/24/2002
0000800240,4/30/2004
0000800459,8/14/2002
0000800459,6/28/2005
0000801351,8/12/1997
0000801351,11/17/1999
0000801351,11/17/1999
0000801898,10/21/1997
0000802301,4/10/2001
0000802481,8/11/1997
0000802481,3/2/1998
0000802481,11/5/1999
0000802481,11/16/2000
0000802481,4/7/2004
0000802481,9/21/2006
0000802481,9/25/2006
0000804212,6/30/1997
0000804212,12/5/1997
0000804212,7/25/2006
0000804328,3/11/1998
0000804328,3/4/1999
0000804333,3/14/1997
0000805023,5/19/2004
0000805264,11/12/1999
0000805264,11/23/2004
0000805264,10/17/2005
0000805264,10/3/2006
0000805914,4/16/1997
0000807877,5/22/1998
0000807877,4/18/2001
0000807882,1/22/2003
0000807882,1/8/2004
0000808362,7/7/2005
0000808362,6/7/2006
0000809428,10/21/1998
